Username,DOB,State
tyuu2443,29.07.1990,North Dakota
hslv3122,01.08.1977,Guam
kgsj3214,07.08.1952,Alaska
fffh3222,04.08.1964,Arkansas
dnch4231,26.07.2001,South Dakota
plfr4411,27.07.1997,Tennessee
twnb1211,03.08.1970,Utah
chxp1334,07.08.1955,New York
xgxf4134,08.08.1951,Kansas
kffj1323,01.08.1979,Texas
wdky3123,03.08.1968,Alabama
ldoq1322,01.08.1977,Louisiana
ivwt1424,05.08.1963,South Carolina
erzm3112,30.07.1986,Kentucky
lwsk2244,27.07.1997,Ohio
soij3124,31.07.1981,Hawaii
hubi2331,03.08.1970,Utah
osts3113,05.08.1961,Puerto Rico
zrzi3222,28.07.1993,Alabama
xvxt4232,07.08.1955,American Samoa
lfsl1422,02.08.1974,South Carolina
jexz4411,06.08.1959,Guam
boxg2212,08.08.1950,Missouri
tmie3224,27.07.1999,Vermont
hpbd3231,29.07.1988,Nevada
pgkf2444,28.07.1994,Vermont
qnhu2342,05.08.1963,New Mexico
vcqm2443,02.08.1975,Kentucky
ypmu2413,07.08.1953,Georgia
psdx3143,29.07.1990,Alaska
onet4224,29.07.1991,Montana
ecgt3114,04.08.1964,Montana
xjcd2132,02.08.1974,Texas
yeov2444,30.07.1987,American Samoa
oqtp3112,28.07.1995,Tennessee
prmz1122,26.07.2001,Wyoming
zmzp3213,02.08.1975,Wyoming
grfl1421,05.08.1961,Minnesota
jbca1331,30.07.1984,Delaware
wigd4411,07.08.1952,Utah
psnu1113,31.07.1983,California
rcop2312,31.07.1983,Puerto Rico
jpnc3434,03.08.1970,Alabama
hzsf4334,29.07.1989,Oregon
kcmf3142,01.08.1977,Utah
laep2321,05.08.1962,Minor Outlying Islands
luwq1424,31.07.1982,Montana
glya4422,06.08.1956,Mississippi
wcrl1314,07.08.1952,Alabama
dsyj3221,27.07.1996,New York
tska3434,07.08.1953,Delaware
wbzv4312,06.08.1959,U.S. Virgin Islands
sxgp4333,01.08.1977,Nebraska
tamo3244,08.08.1950,Illinois
lrwp3144,03.08.1969,Virginia
xsct4441,03.08.1970,U.S. Virgin Islands
eymu1323,03.08.1969,Delaware
objy4142,29.07.1988,Maryland
vzzu4223,01.08.1976,Florida
dcaz3214,03.08.1969,Guam
kudo2242,27.07.1998,Maine
yqvw3344,06.08.1958,Northern Mariana Islands
guox1213,02.08.1975,Tennessee
uqwc4314,02.08.1972,Mississippi
mmxo3313,05.08.1960,Oklahoma
snef4443,02.08.1973,Oregon
wauc1121,06.08.1956,Delaware
zwzc1414,28.07.1993,Iowa
vgcb3334,01.08.1979,Florida
urbj4244,04.08.1967,North Dakota
azbi2221,06.08.1958,West Virginia
wtay1324,06.08.1957,Delaware
qnvc2344,04.08.1965,Oregon
xiip2114,02.08.1975,Northern Mariana Islands
ntkt3341,30.07.1987,North Dakota
zjmm4333,07.08.1954,Minor Outlying Islands
zcrl3344,28.07.1994,Northern Mariana Islands
mmjh4313,30.07.1986,Georgia
uiee4232,02.08.1972,Northern Mariana Islands
asdl3414,06.08.1959,California
aemz3112,31.07.1983,North Dakota
gotk1342,27.07.1998,Kentucky
dbbs3332,29.07.1990,Indiana
oflj2232,07.08.1952,Arizona
bycs1143,28.07.1993,Northern Mariana Islands
hgtu3421,02.08.1972,American Samoa
gbid4144,01.08.1978,Missouri
lskf1313,04.08.1966,Montana
fsxi4334,30.07.1984,U.S. Virgin Islands
eqhq3111,27.07.1998,Minor Outlying Islands
eqnh2111,02.08.1975,Indiana
jnzf3331,26.07.2001,Ohio
silv1313,07.08.1955,Illinois
ehiu2111,06.08.1956,Colorado
yolr1321,08.08.1951,Vermont
ptjf1342,27.07.1999,Alaska
gnio4421,31.07.1982,Idaho
qlop1334,07.08.1954,Michigan
ifhg3244,28.07.1992,South Carolina
kfao2223,28.07.1992,Nebraska
jywk1333,29.07.1991,New Jersey
swfj1341,05.08.1961,Pennsylvania
qidc2444,02.08.1972,North Carolina
ekyu4224,05.08.1963,Texas
nttr2111,27.07.1996,Alaska
qkqm2413,07.08.1954,Alabama
quoe4433,01.08.1976,Arkansas
evvu1124,03.08.1969,South Carolina
pbvg3132,04.08.1964,Michigan
rpiw2112,08.08.1950,Hawaii
smfm4113,02.08.1973,Idaho
toxn4332,04.08.1966,Oregon
biuy4341,04.08.1964,Alabama
wsya4314,27.07.1999,Virginia
inji2443,04.08.1966,Hawaii
cwsq1342,03.08.1971,Wyoming
zqga3121,08.08.1951,Pennsylvania
ttug4133,07.08.1953,Pennsylvania
upbt3134,31.07.1983,Hawaii
zkmv2341,05.08.1960,South Dakota
vkbk1442,29.07.1991,Virginia
yzqf4432,02.08.1975,Maryland
nroh4224,05.08.1961,Northern Mariana Islands
aqxf3134,07.08.1952,Oregon
efkt1233,06.08.1959,North Dakota
myqd2311,07.08.1953,Nevada
seqt4422,01.08.1976,Iowa
pnzh4122,04.08.1966,Nebraska
wwsk2331,02.08.1975,Louisiana
bwbw3423,05.08.1961,Maryland
jbwv1223,29.07.1990,Tennessee
aejf2114,01.08.1979,New Mexico
vzkd2332,04.08.1967,Utah
aagf4423,02.08.1974,Utah
hhta2243,07.08.1952,Rhode Island
zcwf1312,01.08.1979,New York
gtcl2232,31.07.1980,Arkansas
ezos3121,03.08.1970,South Dakota
tpma2141,06.08.1957,Puerto Rico
qbmx2131,04.08.1966,Rhode Island
ysfz3143,31.07.1982,Florida
yrny3111,06.08.1958,Arkansas
olga2431,07.08.1955,West Virginia
oczv1331,27.07.1998,New Jersey
hqyc3414,30.07.1987,Nebraska
gdmw4412,27.07.1999,Puerto Rico
ehsi3413,31.07.1983,New Hampshire
prmt1424,31.07.1983,Alaska
uiwo3344,29.07.1991,Mississippi
iukw3244,08.08.1950,Montana
jwib1233,27.07.1999,Michigan
syys2144,03.08.1971,Rhode Island
wljb4112,28.07.1995,Massachusetts
oeyp1241,29.07.1990,Utah
bqzm1343,03.08.1969,Connecticut
yyvg2243,30.07.1984,Florida
baoh1322,08.08.1951,Massachusetts
lpyq3413,07.08.1955,Wisconsin
qabj2321,05.08.1960,South Carolina
ukin3231,06.08.1958,Guam
usvp2142,01.08.1976,Minor Outlying Islands
vgju4314,06.08.1958,North Carolina
ihix4212,08.08.1950,Iowa
fzrl3424,03.08.1971,Wisconsin
bsta1232,06.08.1957,South Dakota
evcb2114,06.08.1957,Arkansas
rmgj2324,31.07.1981,Oklahoma
mewa3411,05.08.1960,Nevada
bkwx4112,27.07.1997,Georgia
qqez3223,05.08.1961,North Carolina
gzul3444,07.08.1954,American Samoa
allh2421,03.08.1969,West Virginia
xtxl1423,01.08.1979,American Samoa
dvkf3112,02.08.1975,Massachusetts
ulhr2214,27.07.1997,Alaska
aeqd3121,31.07.1983,Louisiana
pjwp4244,01.08.1976,North Carolina
xazi3121,07.08.1954,Oklahoma
vjmf3414,04.08.1966,Maryland
htsz3343,29.07.1991,Kansas
elsh2214,05.08.1961,New Hampshire
vomw4344,28.07.1993,New Hampshire
xbcx1334,28.07.1993,Nebraska
bioz2432,07.08.1952,Puerto Rico
jyqm4141,27.07.1999,Puerto Rico
tjdv1314,04.08.1964,Alabama
lfmw2441,03.08.1971,Vermont
jxxu3332,07.08.1952,Hawaii
mspb3434,02.08.1974,Florida
oldy1311,05.08.1960,Connecticut
mfdj2434,04.08.1965,Georgia
jfqo2342,28.07.1995,New Jersey
ykoe4322,06.08.1957,Vermont
dlpp2444,29.07.1988,North Dakota
lqen4433,27.07.1999,California
jbqu2211,02.08.1972,West Virginia
qgmh4131,31.07.1982,Indiana
bgmm4231,07.08.1953,Missouri
dmnc2411,05.08.1962,Oklahoma
dhlg4213,05.08.1961,American Samoa
tgnb4324,02.08.1974,North Carolina
zksc1322,27.07.1996,Ohio
knbk2424,28.07.1994,Mississippi
yibi3111,31.07.1982,Minnesota
ojtm2134,06.08.1957,Nevada
kmzq2243,05.08.1963,Massachusetts
ouzf4233,28.07.1992,Georgia
wpfi3131,01.08.1977,Minor Outlying Islands
afxm1122,29.07.1989,Pennsylvania
yvya2112,27.07.1998,Virginia
tbsg2412,27.07.1999,Washington
kwcy3344,29.07.1991,Rhode Island
smge2311,03.08.1968,Oregon
kjpr3312,07.08.1955,Nevada
lupd1212,05.08.1960,Nevada
epng2342,06.08.1959,Vermont
fhdi4431,31.07.1982,Maryland
urzn1441,27.07.1996,California
rjsl4431,02.08.1972,American Samoa
prfg3143,01.08.1978,Alaska
icyf1413,31.07.1981,South Dakota
kfqi4333,06.08.1956,New York
jpvv4242,28.07.1992,New Jersey
fgvq1241,31.07.1981,Wisconsin
fztw3224,01.08.1978,Arizona
zsnl2112,01.08.1978,Iowa
wgce3143,01.08.1979,Colorado
neor2332,28.07.1992,U.S. Virgin Islands
eblj3231,06.08.1957,Ohio
fylp3411,03.08.1969,Northern Mariana Islands
zdpv2121,31.07.1980,New Hampshire
urdo2431,02.08.1975,Florida
vhea1314,05.08.1962,Puerto Rico
mzgd2423,29.07.1990,Texas
cnzg4432,01.08.1976,American Samoa
sjxc2333,27.07.1999,Connecticut
ljqw1244,07.08.1954,Northern Mariana Islands
evwa2122,03.08.1970,Montana
rrvn2421,01.08.1976,Nebraska
xoem4413,04.08.1964,Maryland
mube2131,26.07.2001,Montana
ggln3323,02.08.1974,Colorado
vift1322,07.08.1955,New Mexico
lodh3331,31.07.1981,New Mexico
stkp1133,05.08.1961,Alabama
vcmh2224,28.07.1993,Oregon
zazo2124,26.07.2000,Arizona
xhfq1322,08.08.1951,Maryland
zupp3213,28.07.1992,Maine
dfbi4142,02.08.1974,Louisiana
lvez3443,27.07.1999,South Dakota
fpby1221,04.08.1964,Nevada
bwjl4433,02.08.1974,Texas
ffxf2322,03.08.1971,Alaska
sbcr1334,28.07.1992,Maine
stzg1141,03.08.1970,New Mexico
mvbs1222,27.07.1997,New York
irfi1331,05.08.1960,American Samoa
vzjm4224,29.07.1990,New Mexico
sphs3144,31.07.1981,Hawaii
bupm2413,03.08.1968,Louisiana
etcw1111,01.08.1978,Tennessee
ubtt2224,01.08.1977,Alabama
tpsm2333,29.07.1990,Rhode Island
rkud2213,27.07.1997,Kentucky
iiqh3322,05.08.1961,South Carolina
phvj1343,06.08.1959,Arizona
hfov2412,07.08.1953,North Carolina
urdq4441,03.08.1968,Nevada
fjdo1212,04.08.1964,Louisiana
msvn3143,28.07.1994,New Mexico
ccmo3324,31.07.1980,Minnesota
vutl2421,07.08.1952,Arkansas
ijaf1234,27.07.1998,Maine
knuy4424,28.07.1994,Massachusetts
caiy3122,30.07.1985,New Jersey
dmfm4121,01.08.1978,Guam
uczr1142,31.07.1983,California
wqav3212,31.07.1982,Arizona
xehy1411,06.08.1958,New Mexico
zuub1223,26.07.2000,District of Columbia
uvni1334,31.07.1980,Rhode Island
ayln1422,29.07.1990,Rhode Island
gaqt1134,04.08.1967,Mississippi
hypz3234,07.08.1952,Nevada
bhsp2213,30.07.1985,Vermont
ryja3311,27.07.1999,Connecticut
vavu2432,03.08.1970,Michigan
eszm3114,27.07.1999,Maine
vgdv1233,28.07.1995,Florida
mrbb2233,31.07.1982,Washington
pxec2423,03.08.1968,New Hampshire
qkrz1422,04.08.1964,South Dakota
jgkd1432,04.08.1964,Iowa
oafk1124,08.08.1950,Puerto Rico
edrh2441,28.07.1993,American Samoa
ixwm4224,01.08.1979,Pennsylvania
djdy2342,05.08.1963,Nevada
rxna4212,31.07.1982,Wyoming
mcpm1443,01.08.1978,Pennsylvania
zdgv1132,05.08.1962,District of Columbia
jotz3342,02.08.1974,New Jersey
qebk4124,31.07.1981,Louisiana
bwot4241,02.08.1974,Northern Mariana Islands
gnio1334,05.08.1963,Washington
iisv1432,31.07.1980,Delaware
nsxw1322,08.08.1951,Montana
vgeh4231,02.08.1973,Michigan
ilvh3243,03.08.1968,Puerto Rico
bnip4313,05.08.1961,American Samoa
iwxw2214,03.08.1971,Utah
jigo2232,02.08.1974,U.S. Virgin Islands
dpni4214,04.08.1966,Hawaii
aajn1114,06.08.1957,California
kivu4121,06.08.1956,Alabama
mxoa1411,28.07.1994,U.S. Virgin Islands
kpsb3344,03.08.1969,Massachusetts
dxtm1213,04.08.1964,Rhode Island
igly2341,31.07.1982,Utah
huen4234,06.08.1958,South Dakota
xhxg1131,30.07.1986,Oklahoma
vmhm1311,03.08.1968,South Carolina
jyen2411,29.07.1990,Northern Mariana Islands
paue1141,07.08.1952,South Dakota
gndc3142,27.07.1999,Oklahoma
rgjd2323,29.07.1991,Wyoming
smuk1112,03.08.1971,New Mexico
kfcz4131,28.07.1993,California
mhof3233,04.08.1964,Arkansas
bdzk4122,07.08.1953,Massachusetts
trbn3423,08.08.1950,California
gkns2333,31.07.1980,Tennessee
lbtq3134,29.07.1989,New York
jetu1122,04.08.1964,Florida
olen1323,07.08.1952,Texas
vnpe4312,01.08.1977,North Carolina
affm2431,05.08.1962,Washington
vsmd3131,03.08.1969,Idaho
dqnb2343,04.08.1967,New Jersey
scic1431,30.07.1985,Rhode Island
gjuy2434,29.07.1989,Tennessee
ybfr3231,07.08.1955,U.S. Virgin Islands
glyq3112,28.07.1993,South Dakota
ylfy4432,04.08.1964,Kansas
qrlr1134,03.08.1968,West Virginia
txab2133,02.08.1972,Kansas
rbpf1132,01.08.1978,Oregon
kmzg2413,02.08.1972,Oklahoma
fypw4323,31.07.1981,Wisconsin
absr4413,04.08.1965,District of Columbia
zsie4132,26.07.2000,Delaware
crvh1242,04.08.1967,Pennsylvania
tfef4411,02.08.1972,Utah
dtzk1213,01.08.1976,Alaska
lsdk4222,02.08.1974,Delaware
erxs4444,27.07.1997,Michigan
oefw3312,28.07.1994,Arizona
qeaf3332,07.08.1954,Northern Mariana Islands
ckre1441,28.07.1995,Georgia
ejjf3421,04.08.1966,Iowa
ucuq3342,04.08.1966,Maryland
zkjq4324,29.07.1989,Alaska
hszh3123,06.08.1957,Missouri
cyiw1114,04.08.1966,Kentucky
phbh4431,28.07.1994,North Dakota
hkly3131,01.08.1977,Maine
bjto1323,08.08.1951,Maine
qksd3441,29.07.1989,Arkansas
nqsu1121,01.08.1978,Montana
hute1213,05.08.1960,California
utfy3224,07.08.1952,North Carolina
sfux1412,03.08.1971,Puerto Rico
vayo3413,07.08.1952,Missouri
dqin1111,28.07.1993,Kansas
ocou3132,07.08.1953,Mississippi
vand3123,27.07.1997,Colorado
rwjg1421,05.08.1961,District of Columbia
tmtp1423,31.07.1980,Hawaii
eyiw4141,07.08.1955,Indiana
ydqh3431,06.08.1957,Idaho
ouhr4442,26.07.2000,Virginia
vhzu4321,31.07.1982,Kentucky
alxz1243,27.07.1998,Idaho
xvbs4332,04.08.1964,Illinois
tkak4412,03.08.1968,Georgia
raxj1311,31.07.1983,South Dakota
dlke3323,02.08.1974,South Dakota
gojc4341,28.07.1992,West Virginia
erlv2331,31.07.1983,Tennessee
bein1333,08.08.1950,Connecticut
vwuj3242,31.07.1981,American Samoa
jcgb1423,31.07.1983,Northern Mariana Islands
nzmb4422,04.08.1965,Kentucky
litj4433,02.08.1975,Virginia
kmmp2144,26.07.2001,Wisconsin
ftar3334,01.08.1979,District of Columbia
ylsb2211,28.07.1992,Nevada
bloc2413,03.08.1968,Hawaii
epgl1133,02.08.1972,U.S. Virgin Islands
drry3233,30.07.1987,Missouri
qhex1312,04.08.1964,Nebraska
dhfv4332,31.07.1983,Arkansas
seii1233,30.07.1984,Oklahoma
ocdq2444,01.08.1976,Texas
pwzz3444,30.07.1984,Alaska
slsu4224,06.08.1956,Massachusetts
bkmm1441,01.08.1979,Puerto Rico
lkil3114,02.08.1974,Nebraska
nqzz3211,04.08.1967,Florida
yfwp3113,05.08.1960,Montana
cjcm1343,31.07.1981,Massachusetts
unqv3423,27.07.1998,New Hampshire
eibg4132,05.08.1960,Georgia
puym2211,08.08.1951,Connecticut
opxf3324,06.08.1957,Nebraska
gxdq1324,27.07.1999,New Hampshire
jxlo4231,08.08.1950,Ohio
bixl4444,06.08.1956,New Jersey
wghg1343,03.08.1970,Montana
fuxu1423,08.08.1951,New Hampshire
ygis2112,02.08.1973,Arizona
mwxn4112,02.08.1974,Montana
abla1141,07.08.1954,Iowa
apew4322,02.08.1973,Michigan
epes2141,30.07.1986,District of Columbia
bbbf2342,28.07.1994,Kansas
douo3343,06.08.1957,Wyoming
lnwu2424,30.07.1986,Puerto Rico
stgg1313,27.07.1998,Indiana
tdzu3211,30.07.1987,South Carolina
wrtn4141,03.08.1970,Guam
gwyz3133,29.07.1990,New Jersey
pzif2232,31.07.1983,Alabama
meii3231,28.07.1993,Louisiana
bang4112,04.08.1965,Vermont
oofb2342,29.07.1989,Wisconsin
ykqj4114,26.07.2000,Colorado
hqju3112,27.07.1996,Montana
cntw3413,06.08.1958,Oregon
xllf2432,04.08.1965,Michigan
zxtp2233,04.08.1965,Oklahoma
xzan4142,01.08.1976,South Dakota
fszq2433,01.08.1976,Northern Mariana Islands
zycz2211,01.08.1977,South Dakota
djnn1434,02.08.1973,Wisconsin
gfcw1412,01.08.1977,Kentucky
ndmt1411,06.08.1957,Alabama
ojhb1433,02.08.1974,Mississippi
uvpe3312,26.07.2001,Georgia
tvwh3243,05.08.1962,Mississippi
lorn3443,30.07.1986,U.S. Virgin Islands
yoii2211,31.07.1982,Alabama
ubla3443,29.07.1989,New York
mljl2142,06.08.1956,Illinois
ifqm1323,05.08.1963,Florida
djip3223,02.08.1972,Vermont
zjfl1121,30.07.1984,New Hampshire
fznt4123,29.07.1990,Florida
grbr3141,05.08.1963,New York
trbs1413,02.08.1974,Alabama
jfyz2412,28.07.1993,Guam
emsk3431,05.08.1961,West Virginia
ksei1411,28.07.1992,District of Columbia
qfeq4222,27.07.1999,Kentucky
xtzu2223,30.07.1984,Louisiana
ywpm1212,28.07.1995,Kansas
dxsb2213,07.08.1955,South Dakota
jsah1323,05.08.1963,Wyoming
wqpe3344,28.07.1992,Hawaii
ghwu2122,29.07.1988,California
mdhh1324,27.07.1996,Florida
iigi3112,30.07.1987,Delaware
tpsh4443,03.08.1969,Puerto Rico
jssk1323,02.08.1973,North Dakota
qurx2143,05.08.1963,U.S. Virgin Islands
qybz3134,28.07.1992,Ohio
uzof3441,29.07.1991,New York
qiyi1213,05.08.1961,Maine
gegm4114,04.08.1964,Montana
sxol3222,29.07.1988,Arizona
szts2121,04.08.1964,Georgia
tfzi2423,06.08.1956,Iowa
tejr4132,02.08.1972,Georgia
dsdc2433,03.08.1969,Michigan
aarw4144,07.08.1952,Vermont
rpsg2314,28.07.1992,New Hampshire
wzwt1323,31.07.1980,New Mexico
tvny2322,04.08.1967,Northern Mariana Islands
rhbs3231,29.07.1991,New Jersey
wufc3414,01.08.1976,Puerto Rico
vqxn4312,01.08.1979,Delaware
ohup1311,26.07.2001,Ohio
bmsi4413,27.07.1996,Illinois
linr3223,02.08.1973,South Dakota
tpxw3441,06.08.1959,Colorado
gsuo1142,29.07.1991,Connecticut
ptey2113,05.08.1960,Guam
ruou1413,02.08.1974,Puerto Rico
lztr4332,31.07.1983,Alabama
pszr4334,05.08.1960,West Virginia
nqmm3211,28.07.1995,California
pakf4133,29.07.1991,South Dakota
kjhj1444,01.08.1977,Guam
mtds1114,31.07.1980,Vermont
smgi2313,01.08.1979,Nevada
xqol1113,01.08.1976,Guam
mtzp4133,27.07.1999,Alaska
njwk2311,06.08.1959,Oklahoma
gvbr3142,01.08.1976,Pennsylvania
hgkv1334,26.07.2001,Montana
emzi3112,01.08.1977,Wyoming
cmez3332,05.08.1962,Mississippi
fwvv2411,30.07.1986,Minor Outlying Islands
eaul3311,08.08.1951,Guam
heeu4311,05.08.1963,Virginia
mbmg3241,08.08.1951,Northern Mariana Islands
qbrw4214,01.08.1979,Minor Outlying Islands
mwoe2344,29.07.1991,California
gtfw1242,31.07.1982,Northern Mariana Islands
ocbi4444,02.08.1973,Delaware
htgj3224,29.07.1990,West Virginia
nwme1111,07.08.1954,South Carolina
wfvn3214,26.07.2000,Minnesota
awem2211,28.07.1995,Kentucky
nqqs2313,28.07.1995,North Carolina
lwom2223,06.08.1958,Idaho
wvrf3311,07.08.1955,New Mexico
qiyc3141,30.07.1986,Montana
hcxh4222,01.08.1977,Texas
nzse3142,01.08.1978,New Jersey
nczr4141,01.08.1976,Northern Mariana Islands
lbid3111,04.08.1967,Colorado
vgsg3344,07.08.1955,Texas
kibv3222,29.07.1990,Massachusetts
pbtf3432,29.07.1990,North Dakota
lpmg3434,27.07.1999,Kansas
yeeq4433,31.07.1981,District of Columbia
bxhb3222,05.08.1960,District of Columbia
nivo4313,31.07.1983,Florida
zlag4221,08.08.1950,Tennessee
oawd3313,30.07.1987,Montana
ylwn2424,30.07.1987,Massachusetts
toha3143,04.08.1965,Maryland
tvud1211,08.08.1950,Texas
ceik2142,04.08.1967,Pennsylvania
aihm1423,01.08.1978,Rhode Island
ljua3314,31.07.1980,Georgia
ppth3124,07.08.1954,Arizona
bqxn4132,02.08.1974,Florida
myfc2111,01.08.1977,Montana
gzta2324,06.08.1959,New Mexico
letk3131,06.08.1957,New Hampshire
omld4322,07.08.1955,Vermont
sgqj1232,26.07.2000,American Samoa
ankg4334,27.07.1996,Alabama
msty4341,05.08.1963,Kansas
xeka1444,06.08.1958,Maryland
somk3223,02.08.1975,Mississippi
tine3232,30.07.1987,Washington
ivxw3134,02.08.1973,North Carolina
udqe1134,04.08.1965,Massachusetts
yinl1233,28.07.1994,New York
dxfr4332,27.07.1998,Missouri
qici1232,04.08.1967,New Mexico
lxve3123,06.08.1956,Wisconsin
mglk3334,04.08.1964,New York
achz3123,26.07.2001,Wyoming
eefx2321,07.08.1954,U.S. Virgin Islands
sloj4231,03.08.1968,Wisconsin
zvcb1424,05.08.1962,Nevada
yytx1212,03.08.1969,Pennsylvania
jvnz4333,27.07.1996,South Carolina
imzz2343,03.08.1971,Puerto Rico
kkcb2421,01.08.1978,Massachusetts
ntuh4343,26.07.2001,Kentucky
spig2213,01.08.1978,U.S. Virgin Islands
lavx3133,31.07.1983,American Samoa
xpmr3133,02.08.1972,Alaska
hbqz2242,07.08.1952,Ohio
daju1312,07.08.1953,South Carolina
tsia2214,27.07.1997,Virginia
yyvq3422,05.08.1963,Utah
kcss4433,07.08.1954,West Virginia
vmcf2432,06.08.1959,Iowa
aaoj3233,08.08.1951,California
pbvq4412,29.07.1989,Arizona
xwed4133,06.08.1956,New Hampshire
waka3123,01.08.1979,Kansas
vvqe2314,29.07.1989,New Jersey
emwt2431,03.08.1968,Missouri
sunv1323,05.08.1963,New Hampshire
whdi4142,30.07.1987,Virginia
dnyd3223,02.08.1973,California
skdw2313,31.07.1983,Montana
nxxt2123,03.08.1971,Illinois
opsy1334,05.08.1961,West Virginia
iyuf4423,30.07.1987,Northern Mariana Islands
zyah2142,01.08.1976,Oklahoma
dfiu4311,04.08.1965,Michigan
bgkc3244,30.07.1987,Vermont
igje1411,31.07.1980,Arkansas
ynhl3313,07.08.1954,Louisiana
kdxl2343,03.08.1971,Wisconsin
tcdi2323,08.08.1950,Nebraska
nroy1413,03.08.1971,Maryland
ztmc2343,31.07.1980,Utah
ecss3134,07.08.1952,Kansas
ntvh2341,08.08.1950,North Dakota
lsty4211,06.08.1956,Washington
hadl3243,29.07.1989,Northern Mariana Islands
pyrd4244,27.07.1998,Missouri
clar2422,02.08.1973,Tennessee
tmjw4421,30.07.1984,Indiana
dtwa4431,30.07.1987,Utah
mzpy4312,29.07.1991,South Carolina
yvfu3444,05.08.1961,Massachusetts
qnnh4342,29.07.1989,Georgia
zsye4433,28.07.1993,New Mexico
wtuq2413,03.08.1970,Puerto Rico
pixy2113,04.08.1965,Colorado
xljc2121,27.07.1999,Georgia
cnvv1432,07.08.1953,Idaho
krro2332,06.08.1958,Maryland
kmtt3322,02.08.1974,Kansas
cyjf4333,04.08.1964,Arkansas
jcue3121,05.08.1962,Nebraska
lpub4313,03.08.1970,South Dakota
mzdd1142,31.07.1983,Washington
ylyj3223,03.08.1970,Tennessee
rukx3424,29.07.1990,California
rvtf1344,02.08.1975,Idaho
tlmk1412,06.08.1956,Delaware
zlra2231,30.07.1986,Colorado
gixa1112,28.07.1995,Arkansas
lyjr2111,07.08.1952,Arkansas
fjjv2113,06.08.1957,Louisiana
pbis2431,03.08.1969,California
idci1412,03.08.1968,Arkansas
uavh2214,07.08.1954,New Mexico
nupv4114,28.07.1995,Tennessee
itip2224,30.07.1985,Tennessee
iqwc3141,07.08.1954,District of Columbia
zgjh3114,30.07.1985,Florida
cpnx1324,04.08.1965,Arkansas
urmr1114,07.08.1953,Oklahoma
zfgr4321,02.08.1973,Massachusetts
ontv1212,07.08.1955,Wisconsin
ypqm1131,29.07.1991,Missouri
pnuu2123,31.07.1982,North Dakota
gtmd2412,04.08.1967,Guam
npln2111,26.07.2001,Minor Outlying Islands
xqzl2344,05.08.1961,Massachusetts
kucg1211,03.08.1969,Delaware
glab1423,01.08.1977,California
ijrm3114,03.08.1968,Guam
fcau4234,07.08.1954,American Samoa
iose2231,27.07.1996,Louisiana
nhop2414,07.08.1952,Texas
dody2212,29.07.1989,Mississippi
fxry3123,31.07.1983,Vermont
edhu4241,31.07.1981,District of Columbia
khyq4112,30.07.1987,Mississippi
kiym4243,05.08.1960,New Jersey
cowd1211,05.08.1960,Washington
rmtb1323,29.07.1989,Pennsylvania
mohm2212,04.08.1965,Kentucky
toht3112,30.07.1987,Minnesota
zhsn3231,31.07.1982,Tennessee
ruwf4323,02.08.1975,U.S. Virgin Islands
uazk1321,27.07.1999,Massachusetts
cprr3223,27.07.1999,New York
ofns3324,02.08.1973,Ohio
nkmn4113,07.08.1954,Idaho
mkao3433,02.08.1974,South Carolina
lmec3434,01.08.1977,Ohio
sbpi1432,08.08.1951,Idaho
ngrq4411,03.08.1969,North Carolina
cnuy2333,27.07.1997,Virginia
wkex4433,02.08.1972,Utah
xwcv1333,01.08.1977,California
yymw1233,06.08.1956,Texas
vods4231,30.07.1987,Guam
apns3333,05.08.1960,Idaho
fapz4333,08.08.1951,Northern Mariana Islands
rpcg4444,31.07.1980,Oregon
zilb1322,30.07.1987,Nebraska
ahvd4414,01.08.1978,Delaware
zzps4412,27.07.1996,Kentucky
zfgx1411,07.08.1953,Michigan
jqni1334,05.08.1961,Missouri
dlkk3121,02.08.1973,Connecticut
lldv1133,05.08.1961,Indiana
zhai2144,31.07.1980,Tennessee
joil3234,05.08.1962,Kansas
jeuu1144,08.08.1950,Massachusetts
ohox1423,07.08.1955,Mississippi
kxmk4111,04.08.1964,North Carolina
dohc3322,01.08.1979,New Hampshire
etrk2242,02.08.1975,Nevada
miom3224,26.07.2001,California
nytm3223,05.08.1962,Virginia
fnxc2332,31.07.1982,Vermont
htcx1412,06.08.1958,Nevada
hide4432,01.08.1976,Maine
dihq4222,04.08.1965,Minnesota
vthr2422,04.08.1966,Texas
ivtl3314,27.07.1996,Oregon
hjii2222,04.08.1967,Colorado
dudt1134,29.07.1990,Oregon
fmve2132,06.08.1956,Colorado
tpls2124,05.08.1961,Minnesota
epvh3423,27.07.1998,Minnesota
fqla1122,04.08.1964,Massachusetts
fyhk1143,05.08.1962,U.S. Virgin Islands
pynx1214,27.07.1999,Tennessee
ogxo2111,07.08.1952,Nebraska
hzya1114,01.08.1979,Virginia
efry3233,27.07.1997,Rhode Island
amms3124,03.08.1968,Hawaii
fumm1113,26.07.2001,California
vuqk1122,28.07.1995,Virginia
ppxc1143,05.08.1961,Montana
mwdv4211,28.07.1994,Maine
jbml2112,04.08.1965,Arkansas
fvdr4312,03.08.1970,West Virginia
fawh1444,31.07.1980,Northern Mariana Islands
mptl4313,01.08.1978,Ohio
bsgi1144,07.08.1952,Ohio
fkfw3444,03.08.1970,Colorado
boor3113,07.08.1953,American Samoa
xniq1131,05.08.1961,Massachusetts
